Name,Address,URL
Lusсhniki-Stadion,"Moskau, Luschnezkaja Nabereschnaja 24",http://welcome2018.com/de/guide/2412687/
Spartak-Stadion,"Moskau, Wolokolamskoe Chaussee 69",http://welcome2018.com/de/guide/1083981/
Sankt-Petersburg-Stadion,"Sankt Petersburg, Futbolnaja Alleja 1",http://welcome2018.com/de/guide/1084061/
Kasan-Arena,"Kasan, Prospekt Jamaschewa 115 A",http://welcome2018.com/de/guide/1084017/
Fischt-Stadion,"Adler, Olimpijskij Prospekt",http://welcome2018.com/de/guide/1084105/
Wolgograd-Arena,"Wolgograd, Prospekt W.I.Lenina 76",http://welcome2018.com/de/guide/2245065/
Jekaterinburg-Arena,"Jekaterinburg, Uliza Repina 5",http://welcome2018.com/de/guide/2244999/
Kaliningrad-Stadion,"Kaliningrad, Solnetschnyj Bul‘war",http://welcome2018.com/de/guide/2245725/
Nischni-Nowgorod-Stadion,"Nischni Nowgorod, Uliza Dolschanskaja 2 A, Geb. 1",http://welcome2018.com/de/guide/2244809/
Rostow-Arena,"Rostow am Don, Lewobereschnaja 2 B",http://welcome2018.com/de/guide/2244733/
Samara-Arena,"Samara, Uliza Dalnjaja",http://welcome2018.com/de/guide/2244649/
Mordwinien-Arena,"Saransk, Uliza Wolgogradskaja 1",http://welcome2018.com/de/guide/2244595/
