Team,Location,Address
Argentina,Bronnitsy Training Centre,"Ulitsa Moskvoretskaya 46, Bronnitsy, Moscow Region"
Australia,Training base of Aq Bars ice hockey club,"Ulitsa Karla Marxa 71, Kazan"
Belgium,Moscow Country Club,"Nakhabino-1, Krasnogorsk District, Moscow Region"
Brazil,Swissôtel Resort Sochi Camellia,"Kurortny Prospekt 89, Sochi"
Columbia,"""Kazan"" downhill ski resort and sports & health complex","Savino, Verkhneuslonsky District, Republic of Tatarstan"
Costa Rica,Hilton ExpoForum,"Peterburgskoye Shosse 62, Building 1, Territoriya Pulkovskoye, Shushary, St. Petersburg"
Croatia,Lesnaya Rapsodiya,"Lintulskaya Alleya 1, Ilyichevo, Vyborg District, Leningrad Region"
Denmark,Beton Brut,"Ulitsa Verkhnyaya Doroga 120, Anapa, Krasnodar Region"
Egypt,"The Local Hotel, Grozny","Grozny, Liva Yashina St, 34"
England,Forrest Mix Sport & Relax,"Ulitsa Lugovaya 10A, Repino, St. Petersburg"
France,Hilton Garden Inn New Riga,"Estate 1, Kostrovo, Istrinsky District, Moscow Region"
Germany,Vatutinki Health Complex,"Поселение Десеновское, ул. Чароитовая, владение 5, строение 1, Москва, Russland, 108818"
Iceland,Nadezhda Resort Complex,"Ulitsa Mira 3, Kabardinka, Gelendjik, Krasnodar Region"
Iran,Bakovka,"Ulitsa Lesnaya 16, Bakovka, Moscow Region"
Japan,FC Rubin training base,"Ulitsa Kopylova 2, Kazan"
Mexico,Novogorsk training base,"Ulitsa Sokolovskaya 8, Novogorsk, Khimki Estate, Moscow Region"
Morocco,Voronezh Marriott,"Voronezh, prosp. Revolyutsii, 38"
Nigeria,Istochnik health retreat,"Ulitsa Semashko 6-8, Essentuki, Stavropol Region"
Panama,Olympic training centre,"Ulitsa Pobedy 3a, Saransk"
Peru,Sheraton Moscow Sheremetyevo,"Mezhdunarodnoye Shosse 28B, Building 5, Moscow"
Poland,Hyatt Regency Sochi,"Ulitsa Ordjonikidze 17, Sochi"
Portugal,Saturn training base,"Ulitsa Baumana 10, Kratovo, Ramenskoye District, Moscow Region"
Russia,Novogorsk-Dynamo training base,"Ulitsa Sokolovskaya 7, Novogorsk, Khimki Estate, Moscow Region"
Saudi Arabia,Belmond Grand Hotel Europe,"Sankt Petersburg, Ulitsa Mikhailovskaya 1/7"
Senegal,SK ROYAL Kaluga,"Ulitsa Tramplinnaya 1B, Kaluga"
Serbia,Royal Falke Resort,"Ulitsa Lenina 1b, Svetlogorsk, Kaliningrad Region"
Spain,FC Krasnodar Academy,"Ulitsa Zhloby 114, Krasnodar"
South Korea,New Peterhof Hotel,"Sankt-Peterburgsky Prospekt 34, St. Petersburg"
Sweden,Grand Hotel Kempinski,"Ulitsa Revolutsionnaya 53, Gelendjik, Krasnodar Region"
Switzerland,Togliatti Resort,"Lesoparkovoye Shosse 55, Togliatti"
Tunisia,Imperial Park Hotel & Spa,"Rogozinino, Pervomaiskoye, Moscow"
Uruguay,Sports Centre Borsky,"Nizhny Novgorod region, Bor town City district, Krasnogorka St, 120"
